event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
amphan_2020,2020-05-15T06:00:00Z,9.5,87.5, , 
amphan_2020,2020-05-15T09:00:00Z,9.50504,87.2425, , 
amphan_2020,2020-05-15T12:00:00Z,9.5,87.0, , 
amphan_2020,2020-05-15T15:00:00Z,9.48499,86.785, , 
amphan_2020,2020-05-15T18:00:00Z,9.5,86.6, , 
amphan_2020,2020-05-15T21:00:00Z,9.58497,86.45, , 
amphan_2020,2020-05-16T00:00:00Z,10.4,87.0,25,1000
amphan_2020,2020-05-16T03:00:00Z,10.7,86.5,25,1000
amphan_2020,2020-05-16T06:00:00Z,10.9,86.3,25,1000
amphan_2020,2020-05-16T09:00:00Z,10.9,86.3,30,998
amphan_2020,2020-05-16T12:00:00Z,10.9,86.3,35,996
amphan_2020,2020-05-16T15:00:00Z,11.0,86.2,40,995
amphan_2020,2020-05-16T18:00:00Z,11.1,86.1,40,995
amphan_2020,2020-05-16T21:00:00Z,11.3,86.1,45,994
amphan_2020,2020-05-17T00:00:00Z,11.4,86.0,45,993
amphan_2020,2020-05-17T03:00:00Z,11.4,86.0,50,990
amphan_2020,2020-05-17T06:00:00Z,11.5,86.0,55,988
amphan_2020,2020-05-17T09:00:00Z,11.7,86.0,65,980
amphan_2020,2020-05-17T12:00:00Z,12.0,86.0,70,978
amphan_2020,2020-05-17T15:00:00Z,12.8,86.2,75,972
amphan_2020,2020-05-17T18:00:00Z,12.5,86.1,80,970
amphan_2020,2020-05-17T21:00:00Z,12.9,86.4,90,962
amphan_2020,2020-05-18T00:00:00Z,13.2,86.3,100,952
amphan_2020,2020-05-18T03:00:00Z,13.3,86.2,115,936
amphan_2020,2020-05-18T06:00:00Z,13.4,86.2,120,930
amphan_2020,2020-05-18T09:00:00Z,13.7,86.2,120,930
amphan_2020,2020-05-18T12:00:00Z,14.0,86.3,125,926
amphan_2020,2020-05-18T15:00:00Z,14.5,86.4,125,926
amphan_2020,2020-05-18T18:00:00Z,14.9,86.5,130,920
amphan_2020,2020-05-18T21:00:00Z,15.2,86.6,130,920
amphan_2020,2020-05-19T00:00:00Z,15.6,86.7,125,926
amphan_2020,2020-05-19T03:00:00Z,16.0,86.8,120,930
amphan_2020,2020-05-19T06:00:00Z,16.5,86.9,115,936
amphan_2020,2020-05-19T09:00:00Z,17.0,86.9,110,942
amphan_2020,2020-05-19T12:00:00Z,17.4,87.0,105,946
amphan_2020,2020-05-19T15:00:00Z,18.1,87.1,100,948
amphan_2020,2020-05-19T18:00:00Z,18.4,87.2,100,948
amphan_2020,2020-05-19T21:00:00Z,18.7,87.2,100,948
amphan_2020,2020-05-20T00:00:00Z,19.1,87.5,95,952
amphan_2020,2020-05-20T03:00:00Z,19.8,87.7,95,954
amphan_2020,2020-05-20T06:00:00Z,20.6,88.0,90,956
amphan_2020,2020-05-20T09:00:00Z,21.4,88.1,90,960
amphan_2020,2020-05-20T12:00:00Z,21.9,88.4,85,957
amphan_2020,2020-05-20T15:00:00Z,22.7,88.6,65,968
amphan_2020,2020-05-20T18:00:00Z,23.3,89.0,50,978
amphan_2020,2020-05-20T21:00:00Z,24.2,89.0,45,986
amphan_2020,2020-05-21T00:00:00Z,24.2,89.3,40,988
amphan_2020,2020-05-21T03:00:00Z,24.7,89.5,35,990
amphan_2020,2020-05-21T06:00:00Z,25.0,89.6,30,992
amphan_2020,2020-05-21T09:00:00Z,25.213,89.6196, , 
amphan_2020,2020-05-21T12:00:00Z,25.4,89.6,20,995
