event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
fani_2019,2019-04-25T18:00:00Z,1.9,90.2, , 
fani_2019,2019-04-25T21:00:00Z,2.05999,90.1225, , 
fani_2019,2019-04-26T00:00:00Z,2.2,90.0, , 
fani_2019,2019-04-26T03:00:00Z,2.32001,89.82, , 
fani_2019,2019-04-26T06:00:00Z,2.5,89.7, , 
fani_2019,2019-04-26T09:00:00Z,2.82,89.7625, , 
fani_2019,2019-04-26T12:00:00Z,3.2,89.2,25,998
fani_2019,2019-04-26T15:00:00Z,3.41934,88.9523, , 
fani_2019,2019-04-26T18:00:00Z,3.7,88.8,25,998
fani_2019,2019-04-26T21:00:00Z,4.07954,88.7931, , 
fani_2019,2019-04-27T00:00:00Z,4.5,88.8,30,997
fani_2019,2019-04-27T03:00:00Z,4.9,88.7,30,996
fani_2019,2019-04-27T06:00:00Z,5.2,88.6,35,995
fani_2019,2019-04-27T09:00:00Z,5.4,88.5,40,994
fani_2019,2019-04-27T12:00:00Z,5.9,88.5,45,992
fani_2019,2019-04-27T15:00:00Z,6.3,88.5,45,992
fani_2019,2019-04-27T18:00:00Z,6.6,88.2,45,992
fani_2019,2019-04-27T21:00:00Z,6.9,87.9,45,992
fani_2019,2019-04-28T00:00:00Z,7.3,87.9,45,992
fani_2019,2019-04-28T03:00:00Z,7.3,87.9,45,992
fani_2019,2019-04-28T06:00:00Z,7.4,87.8,45,992
fani_2019,2019-04-28T09:00:00Z,7.7,87.5,45,992
fani_2019,2019-04-28T12:00:00Z,8.2,87.0,45,992
fani_2019,2019-04-28T15:00:00Z,8.3,86.9,45,992
fani_2019,2019-04-28T18:00:00Z,8.4,86.9,45,992
fani_2019,2019-04-28T21:00:00Z,8.5,86.9,45,992
fani_2019,2019-04-29T00:00:00Z,8.6,86.9,45,992
fani_2019,2019-04-29T03:00:00Z,8.7,86.9,45,992
fani_2019,2019-04-29T06:00:00Z,9.2,86.9,45,992
fani_2019,2019-04-29T09:00:00Z,9.7,86.8,45,992
fani_2019,2019-04-29T12:00:00Z,10.1,86.7,55,986
fani_2019,2019-04-29T15:00:00Z,10.4,86.7,55,986
fani_2019,2019-04-29T18:00:00Z,10.8,86.6,55,986
fani_2019,2019-04-29T21:00:00Z,11.1,86.5,65,982
fani_2019,2019-04-30T00:00:00Z,11.7,86.5,70,980
fani_2019,2019-04-30T03:00:00Z,12.3,86.2,75,974
fani_2019,2019-04-30T06:00:00Z,12.6,85.7,80,970
fani_2019,2019-04-30T09:00:00Z,13.0,85.3,85,966
fani_2019,2019-04-30T12:00:00Z,13.3,84.7,90,962
fani_2019,2019-04-30T15:00:00Z,13.4,84.5,95,957
fani_2019,2019-04-30T18:00:00Z,13.5,84.4,95,957
fani_2019,2019-04-30T21:00:00Z,13.6,84.2,95,957
fani_2019,2019-05-01T00:00:00Z,13.9,84.0,95,957
fani_2019,2019-05-01T03:00:00Z,14.1,83.9,95,957
fani_2019,2019-05-01T06:00:00Z,14.2,83.9,95,957
fani_2019,2019-05-01T09:00:00Z,14.5,84.1,95,955
fani_2019,2019-05-01T12:00:00Z,14.9,84.1,100,950
fani_2019,2019-05-01T15:00:00Z,15.1,84.1,100,950
fani_2019,2019-05-01T18:00:00Z,15.2,84.1,100,950
fani_2019,2019-05-01T21:00:00Z,15.5,84.2,100,950
fani_2019,2019-05-02T00:00:00Z,15.9,84.5,105,945
fani_2019,2019-05-02T03:00:00Z,16.2,84.6,105,945
fani_2019,2019-05-02T06:00:00Z,16.7,84.8,110,940
fani_2019,2019-05-02T09:00:00Z,17.1,84.8,115,932
fani_2019,2019-05-02T12:00:00Z,17.5,84.8,115,932
fani_2019,2019-05-02T15:00:00Z,17.8,84.9,115,934
fani_2019,2019-05-02T18:00:00Z,18.2,85.0,115,934
fani_2019,2019-05-02T21:00:00Z,18.6,85.2,115,934
fani_2019,2019-05-03T00:00:00Z,19.1,85.5,105,945
fani_2019,2019-05-03T03:00:00Z,19.6,85.7,100,952
fani_2019,2019-05-03T06:00:00Z,20.2,85.9,85,966
fani_2019,2019-05-03T09:00:00Z,20.6,86.0,75,970
fani_2019,2019-05-03T12:00:00Z,21.1,86.5,70,976
fani_2019,2019-05-03T15:00:00Z,21.5,86.7,60,980
fani_2019,2019-05-03T18:00:00Z,21.9,87.1,55,984
fani_2019,2019-05-03T21:00:00Z,22.5,87.9,50,986
fani_2019,2019-05-04T00:00:00Z,23.1,88.2,40,994
fani_2019,2019-05-04T03:00:00Z,23.6,88.8,30,996
fani_2019,2019-05-04T06:00:00Z,24.3,89.3,25,998
fani_2019,2019-05-04T09:00:00Z,24.8292,89.9407, , 
fani_2019,2019-05-04T12:00:00Z,25.2,90.7,20,1000
