event_id,frame_id,timestamp,ground_truth_label,wind_kts,prior_wind_kts,label_source,center_lat,center_lon
amphan_2020,amphan_2020_20200516T000000Z.npz,2020-05-16T00:00:00Z,disorganized,25.0,,ibtracs_intensity_rules,10.4,87.0
amphan_2020,amphan_2020_20200516T030000Z.npz,2020-05-16T03:00:00Z,disorganized,25.0,,ibtracs_intensity_rules,10.7,86.5
amphan_2020,amphan_2020_20200516T060000Z.npz,2020-05-16T06:00:00Z,disorganized,25.0,25.0,ibtracs_intensity_rules,10.9,86.3
amphan_2020,amphan_2020_20200516T090000Z.npz,2020-05-16T09:00:00Z,disorganized,30.0,25.0,ibtracs_intensity_rules,10.9,86.3
amphan_2020,amphan_2020_20200516T120000Z.npz,2020-05-16T12:00:00Z,curved_band,35.0,25.0,ibtracs_intensity_rules,10.9,86.3
amphan_2020,amphan_2020_20200516T150000Z.npz,2020-05-16T15:00:00Z,curved_band,40.0,30.0,ibtracs_intensity_rules,11.0,86.2
amphan_2020,amphan_2020_20200516T180000Z.npz,2020-05-16T18:00:00Z,curved_band,40.0,35.0,ibtracs_intensity_rules,11.1,86.1
amphan_2020,amphan_2020_20200516T210000Z.npz,2020-05-16T21:00:00Z,curved_band,45.0,40.0,ibtracs_intensity_rules,11.3,86.1
amphan_2020,amphan_2020_20200517T000000Z.npz,2020-05-17T00:00:00Z,curved_band,45.0,40.0,ibtracs_intensity_rules,11.4,86.0
amphan_2020,amphan_2020_20200517T030000Z.npz,2020-05-17T03:00:00Z,curved_band,50.0,45.0,ibtracs_intensity_rules,11.4,86.0
amphan_2020,amphan_2020_20200517T060000Z.npz,2020-05-17T06:00:00Z,curved_band,55.0,45.0,ibtracs_intensity_rules,11.5,86.0
amphan_2020,amphan_2020_20200517T090000Z.npz,2020-05-17T09:00:00Z,banding,65.0,50.0,ibtracs_intensity_rules,11.7,86.0
amphan_2020,amphan_2020_20200517T120000Z.npz,2020-05-17T12:00:00Z,banding,70.0,55.0,ibtracs_intensity_rules,12.0,86.0
amphan_2020,amphan_2020_20200517T150000Z.npz,2020-05-17T15:00:00Z,banding,75.0,65.0,ibtracs_intensity_rules,12.8,86.2
amphan_2020,amphan_2020_20200517T180000Z.npz,2020-05-17T18:00:00Z,banding,80.0,70.0,ibtracs_intensity_rules,12.5,86.1
amphan_2020,amphan_2020_20200517T210000Z.npz,2020-05-17T21:00:00Z,banding,90.0,75.0,ibtracs_intensity_rules,12.9,86.4
amphan_2020,amphan_2020_20200518T000000Z.npz,2020-05-18T00:00:00Z,banding,100.0,80.0,ibtracs_intensity_rules,13.2,86.3
amphan_2020,amphan_2020_20200518T030000Z.npz,2020-05-18T03:00:00Z,banding,115.0,90.0,ibtracs_intensity_rules,13.3,86.2
amphan_2020,amphan_2020_20200518T060000Z.npz,2020-05-18T06:00:00Z,eye,120.0,100.0,ibtracs_intensity_rules,13.4,86.2
amphan_2020,amphan_2020_20200518T090000Z.npz,2020-05-18T09:00:00Z,eye,120.0,115.0,ibtracs_intensity_rules,13.7,86.2
amphan_2020,amphan_2020_20200518T120000Z.npz,2020-05-18T12:00:00Z,eye,125.0,120.0,ibtracs_intensity_rules,14.0,86.3
amphan_2020,amphan_2020_20200518T150000Z.npz,2020-05-18T15:00:00Z,eye,125.0,120.0,ibtracs_intensity_rules,14.5,86.4
amphan_2020,amphan_2020_20200518T180000Z.npz,2020-05-18T18:00:00Z,eye,130.0,125.0,ibtracs_intensity_rules,14.9,86.5
amphan_2020,amphan_2020_20200518T210000Z.npz,2020-05-18T21:00:00Z,eye,130.0,125.0,ibtracs_intensity_rules,15.2,86.6
amphan_2020,amphan_2020_20200519T000000Z.npz,2020-05-19T00:00:00Z,eye,125.0,130.0,ibtracs_intensity_rules,15.6,86.7
amphan_2020,amphan_2020_20200519T030000Z.npz,2020-05-19T03:00:00Z,eye,120.0,130.0,ibtracs_intensity_rules,16.0,86.8
amphan_2020,amphan_2020_20200519T060000Z.npz,2020-05-19T06:00:00Z,banding,115.0,125.0,ibtracs_intensity_rules,16.5,86.9
amphan_2020,amphan_2020_20200519T090000Z.npz,2020-05-19T09:00:00Z,banding,110.0,120.0,ibtracs_intensity_rules,17.0,86.9
amphan_2020,amphan_2020_20200519T120000Z.npz,2020-05-19T12:00:00Z,banding,105.0,115.0,ibtracs_intensity_rules,17.4,87.0
amphan_2020,amphan_2020_20200519T150000Z.npz,2020-05-19T15:00:00Z,banding,100.0,110.0,ibtracs_intensity_rules,18.1,87.1
amphan_2020,amphan_2020_20200519T180000Z.npz,2020-05-19T18:00:00Z,banding,100.0,105.0,ibtracs_intensity_rules,18.4,87.2
amphan_2020,amphan_2020_20200519T210000Z.npz,2020-05-19T21:00:00Z,banding,100.0,100.0,ibtracs_intensity_rules,18.7,87.2
