event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
phailin_2013,2013-10-07T12:00:00Z,11.8,97.6, , 
phailin_2013,2013-10-07T15:00:00Z,11.9629,96.9677, , 
phailin_2013,2013-10-07T18:00:00Z,12.1,96.4, , 
phailin_2013,2013-10-07T21:00:00Z,12.1999,95.9474, , 
phailin_2013,2013-10-08T00:00:00Z,12.3,95.6, , 
phailin_2013,2013-10-08T03:00:00Z,12.0,96.0,25,1004
phailin_2013,2013-10-08T06:00:00Z,12.0,95.5,25,1004
phailin_2013,2013-10-08T09:00:00Z,11.966,94.9658, , 
phailin_2013,2013-10-08T12:00:00Z,12.0,94.5,25,1003
phailin_2013,2013-10-08T15:00:00Z,12.2123,94.2125, , 
phailin_2013,2013-10-08T18:00:00Z,12.5,94.0,25,1003
phailin_2013,2013-10-08T21:00:00Z,12.8012,93.699, , 
phailin_2013,2013-10-09T00:00:00Z,13.0,93.5,30,1002
phailin_2013,2013-10-09T03:00:00Z,13.0,93.5,30,1001
phailin_2013,2013-10-09T06:00:00Z,13.0,93.0,30,1000
phailin_2013,2013-10-09T09:00:00Z,13.5,92.5,30,1000
phailin_2013,2013-10-09T12:00:00Z,13.5,92.5,35,999
phailin_2013,2013-10-09T15:00:00Z,13.6,92.5,35,999
phailin_2013,2013-10-09T18:00:00Z,14.0,92.0,40,998
phailin_2013,2013-10-09T21:00:00Z,14.0,92.0,45,996
phailin_2013,2013-10-10T00:00:00Z,14.5,91.5,45,996
phailin_2013,2013-10-10T03:00:00Z,14.5,91.0,55,990
phailin_2013,2013-10-10T06:00:00Z,15.0,90.5,65,984
phailin_2013,2013-10-10T09:00:00Z,15.0,90.5,70,982
phailin_2013,2013-10-10T12:00:00Z,15.5,90.0,75,976
phailin_2013,2013-10-10T15:00:00Z,15.5,90.0,90,966
phailin_2013,2013-10-10T18:00:00Z,15.5,89.5,95,960
phailin_2013,2013-10-10T21:00:00Z,15.5,89.0,100,954
phailin_2013,2013-10-11T00:00:00Z,16.0,88.5,110,946
phailin_2013,2013-10-11T03:00:00Z,16.0,88.5,115,940
phailin_2013,2013-10-11T06:00:00Z,16.2,88.3,115,940
phailin_2013,2013-10-11T09:00:00Z,16.5,88.0,115,940
phailin_2013,2013-10-11T12:00:00Z,16.8,87.7,115,940
phailin_2013,2013-10-11T15:00:00Z,16.9,87.2,115,940
phailin_2013,2013-10-11T18:00:00Z,17.0,87.0,115,940
phailin_2013,2013-10-11T21:00:00Z,17.1,86.8,115,940
phailin_2013,2013-10-12T00:00:00Z,17.5,86.5,115,940
phailin_2013,2013-10-12T03:00:00Z,17.8,86.0,115,940
phailin_2013,2013-10-12T06:00:00Z,18.1,85.7,115,940
phailin_2013,2013-10-12T09:00:00Z,18.6,85.4,115,940
phailin_2013,2013-10-12T12:00:00Z,18.7,85.2,115,940
phailin_2013,2013-10-12T15:00:00Z,19.1,85.2,115,940
phailin_2013,2013-10-12T18:00:00Z,19.5,84.8,100,956
phailin_2013,2013-10-12T21:00:00Z,20.0,84.5,90,966
phailin_2013,2013-10-13T00:00:00Z,20.5,84.5,75,976
phailin_2013,2013-10-13T03:00:00Z,21.0,84.0,55,990
phailin_2013,2013-10-13T06:00:00Z,21.5,84.0,40,992
phailin_2013,2013-10-13T09:00:00Z,21.8,83.8,35,993
phailin_2013,2013-10-13T12:00:00Z,22.5,83.8,35,994
phailin_2013,2013-10-13T15:00:00Z,22.8421,83.6264, , 
phailin_2013,2013-10-13T18:00:00Z,23.0,83.5,30,996
phailin_2013,2013-10-13T21:00:00Z,23.2127,83.7123, , 
phailin_2013,2013-10-14T00:00:00Z,23.5,84.0,30,1000
phailin_2013,2013-10-14T03:00:00Z,23.9499,84.1501, , 
phailin_2013,2013-10-14T06:00:00Z,24.5,84.2,25,1004
