event_id,timestamp,lat,lon,wmo_wind_kts,wmo_pres_mb
tauktae_2021,2021-05-13T06:00:00Z,10.0,70.9, , 
tauktae_2021,2021-05-13T09:00:00Z,10.0925,71.1225, , 
tauktae_2021,2021-05-13T12:00:00Z,10.2,71.3, , 
tauktae_2021,2021-05-13T15:00:00Z,10.335,71.4075, , 
tauktae_2021,2021-05-13T18:00:00Z,10.5,71.5, , 
tauktae_2021,2021-05-13T21:00:00Z,10.6925,71.6425, , 
tauktae_2021,2021-05-14T00:00:00Z,10.9,71.8, , 
tauktae_2021,2021-05-14T03:00:00Z,10.5,72.3,25,997
tauktae_2021,2021-05-14T06:00:00Z,11.0,72.5,25,996
tauktae_2021,2021-05-14T09:00:00Z,11.5,72.5,30,995
tauktae_2021,2021-05-14T12:00:00Z,11.6,72.6,30,995
tauktae_2021,2021-05-14T15:00:00Z,11.9187,72.6188, , 
tauktae_2021,2021-05-14T18:00:00Z,12.2,72.6,35,993
tauktae_2021,2021-05-14T21:00:00Z,12.2,72.6,40,992
tauktae_2021,2021-05-15T00:00:00Z,12.7,72.5,40,992
tauktae_2021,2021-05-15T03:00:00Z,12.8,72.5,40,992
tauktae_2021,2021-05-15T06:00:00Z,13.2,72.6,45,990
tauktae_2021,2021-05-15T09:00:00Z,13.5,72.7,45,990
tauktae_2021,2021-05-15T12:00:00Z,13.8,72.7,55,985
tauktae_2021,2021-05-15T15:00:00Z,14.2,72.7,55,984
tauktae_2021,2021-05-15T18:00:00Z,14.5,72.6,60,982
tauktae_2021,2021-05-15T21:00:00Z,14.7,72.7,60,982
tauktae_2021,2021-05-16T00:00:00Z,15.0,72.7,65,979
tauktae_2021,2021-05-16T03:00:00Z,15.3,72.7,70,976
tauktae_2021,2021-05-16T06:00:00Z,15.7,72.7,70,976
tauktae_2021,2021-05-16T09:00:00Z,16.2,72.6,70,976
tauktae_2021,2021-05-16T12:00:00Z,16.7,72.5,75,972
tauktae_2021,2021-05-16T15:00:00Z,17.2,72.3,80,968
tauktae_2021,2021-05-16T18:00:00Z,17.5,72.0,85,964
tauktae_2021,2021-05-16T21:00:00Z,18.0,71.7,90,960
tauktae_2021,2021-05-17T00:00:00Z,18.5,71.5,100,950
tauktae_2021,2021-05-17T03:00:00Z,18.8,71.5,100,950
tauktae_2021,2021-05-17T06:00:00Z,19.2,71.4,100,950
tauktae_2021,2021-05-17T09:00:00Z,19.6,71.4,100,950
tauktae_2021,2021-05-17T12:00:00Z,20.1,71.3,95,955
tauktae_2021,2021-05-17T15:00:00Z,20.5,71.2,90,960
tauktae_2021,2021-05-17T18:00:00Z,20.9,71.1,85,964
tauktae_2021,2021-05-17T21:00:00Z,21.3,71.2,75,972
tauktae_2021,2021-05-18T00:00:00Z,21.5,71.2,65,978
tauktae_2021,2021-05-18T03:00:00Z,21.6,71.3,55,984
tauktae_2021,2021-05-18T06:00:00Z,22.0,71.5,45,990
tauktae_2021,2021-05-18T09:00:00Z,22.5,71.8,40,992
tauktae_2021,2021-05-18T12:00:00Z,23.1,72.3,35,993
tauktae_2021,2021-05-18T15:00:00Z,23.6,72.6,30,994
tauktae_2021,2021-05-18T18:00:00Z,24.1,73.0,30,995
tauktae_2021,2021-05-18T21:00:00Z,24.3185,73.1507, , 
tauktae_2021,2021-05-19T00:00:00Z,24.5,73.3,25,996
tauktae_2021,2021-05-19T03:00:00Z,24.9,73.7,20,997
tauktae_2021,2021-05-19T06:00:00Z,25.8,74.8,20,997
